#N 4
#EQMCS 10000
#PMCS 100000
#T 0.5
#dT 0.1
#TMAX 5
#SEED 201316338
#
#TEMP           <E>       <E>^2       |<M>|
0.50         -2.000       4.000       1.000
0.60         -2.000       4.000       1.000
0.70         -2.000       4.000       1.000
0.80         -2.000       3.999       1.000
0.90         -1.999       3.995       1.000
1.00         -1.997       3.989       0.999
1.10         -1.994       3.977       0.999
1.20         -1.989       3.955       0.997
1.30         -1.980       3.921       0.995
1.40         -1.968       3.873       0.677
1.50         -1.950       3.803       0.238
1.60         -1.924       3.701       0.201
1.70         -1.895       3.592       0.145
1.80         -1.856       3.446       0.088
1.90         -1.813       3.289       0.098
2.00         -1.759       3.095       0.080
2.10         -1.688       2.849       0.016
2.20         -1.620       2.625       0.004
2.30         -1.539       2.369       0.011
2.40         -1.466       2.149       0.018
2.50         -1.373       1.886       0.028
2.60         -1.303       1.699       0.001
2.70         -1.228       1.507       0.026
2.80         -1.153       1.329       0.012
2.90         -1.083       1.173       0.003
3.00         -1.026       1.052       0.008
3.10         -0.961       0.923       0.019
3.20         -0.903       0.815       0.009
3.30         -0.860       0.739       0.012
3.40         -0.814       0.662       0.003
3.50         -0.771       0.595       0.003
3.60         -0.743       0.552       0.013
3.70         -0.709       0.503       0.002
3.80         -0.676       0.457       0.001
3.90         -0.654       0.428       0.001
4.00         -0.627       0.393       0.002
4.10         -0.605       0.367       0.004
4.20         -0.579       0.336       0.001
4.30         -0.564       0.318       0.001
4.40         -0.547       0.299       0.000
4.50         -0.528       0.278       0.001
4.60         -0.506       0.256       0.001
4.70         -0.493       0.244       0.002
4.80         -0.480       0.231       0.003
4.90         -0.469       0.220       0.001
5.00         -0.457       0.209       0.003
